author,published_at,like_count,text
@binjubinoy2117,2026-09-05T12:56:33Z,0,Sreenath Bhasiyude kidilan comeback aayirikkum ithu
@markmaria8591,2026-09-05T12:55:44Z,0,ടീസർ കേട്ടപ്പോൾ തന്നെ ബിജിഎം മനസിൽ കേറിപ്പറ്റി
@avaneeshappu8596,2026-09-05T12:54:30Z,0,P S Jayhari's music is going to be top-notch
@rubiannaelisabath7878,2026-09-05T12:53:52Z,0,Bhasiyude aah paattinayi kaathirippaanu
@annaanniesvlog6210,2026-09-05T12:53:16Z,0,മാസ് ടീസർ ക്വാളിറ്റിയുടെ കാര്യത്തിൽ ഒരു വിട്ടുവീഴ്ചയുമില്ല
@Ganeshganesh-qn3eq,2026-09-05T12:52:16Z,0,The overall visual quality of this teaser is outstanding
@anjalisushama5817,2026-09-05T12:51:38Z,0,P S Jayhari music magic eppozhum വമ്പൻ hit aakam
@GK-ko2un,2026-09-05T12:50:51Z,0,കാത്തിരുന്നതിന് ഫലമുണ്ട് എന്തൊരു വിഷ്വൽ ട്രീറ്റ് ആണ്
@sreeparvathi1658,2026-09-05T12:50:11Z,0,Eagerly waiting for Sreenath Bhasi's magic on screen
@mythoughts1180,2026-09-05T12:49:20Z,0,Teaser music kettittu romancham vannu
@vinayanvinu209,2026-09-05T12:48:06Z,0,ശശിധര കെ എം സംവിധാനം ചെയ്യുമ്പോൾ ലവൽ വേറെ ആയിരിക്കും
@anjusmagicbrush1020,2026-09-05T12:46:12Z,0,This director-actor combination is going to work wonders
@Media-xv2gm,2026-09-05T12:45:27Z,0,Sreenath Bhasiyude actingil entho valiya sambhavam thonnunnu
@AlliGiri-f6e,2026-09-05T12:44:29Z,0,സിനിമ തിയേറ്ററിൽ തന്നെ കാണേണ്ട അവസ്ഥയാണ് അത്രയ്ക്കും ക്വാളിറ്റി
@suryasomasekhar8408,2026-09-05T12:42:57Z,0,Can't wait to hear the full song sung by Sreenath Bhasi
@SharathSham-o8t,2026-09-05T12:42:14Z,0,Teaser quality kaanumbol thanne padathinte standard manasilaakam
@arunmahesh2763,2026-09-05T12:38:25Z,0,മ്യൂസിക്കും വിഷ്വൽസും കണ്ടിട്ട് നെക്സ്റ്റ് ലെവൽ എന്ന് തന്നെ പറയാം
@Venugopal-sm8ku,2026-09-05T12:36:31Z,0,Shashidhara KM has done an amazing job with the teaser
@vishnugopal4936,2026-09-05T12:35:39Z,0,P S Jayhari background music vere level aakkiyittund
@ranjithrakhavan503,2026-09-05T12:35:05Z,0,ഇതിലെ പാട്ടിനായുള്ള കാത്തിരിപ്പ് ഇനി നീളില്ല എന്ന് കരുതുന്നു
@unnirajm17,2026-09-05T12:34:11Z,0,Everything in this teaser looks super impressive and promising
@firozrashid5442,2026-09-05T12:31:44Z,0,Bhasiyude paattum padavum orumichu aaghosham aakkum
@twinklejaimy3952,2026-09-05T12:31:08Z,0,ടീസർ ഇത്രയും കൊള്ളാമെങ്കിൽ പടം വമ്പൻ ഹിറ്റാകും
@harikrishnan2481,2026-09-05T06:43:58Z,0,"Teaser 💥
Sreenath bhasi, 100%  talented actor from our industry."
@ananthukrishnan6170,2026-09-04T22:53:26Z,0,ഒരു ബോംബ് കഥ
@pradeepmalgudi7743,2026-09-04T15:47:35Z,0,"Promising content  
cibil score based fist movie 
All the best director and all team💐"
@rahumathabdulsalam8672,2026-09-04T15:35:44Z,0,"Loved the teaser! Looks like the story of an ordinary man, but Bhasi seems to have nailed it. He’s surely going to score!"
@mousoomiaslam8009,2026-09-04T15:34:49Z,0,A promising teaser.. looks like a clean entertainer.. Bhasi as an ordinary man with his natural acting skills.. aaha this will definitely be a comeback of him.. sreenath bhasi🔥
@nijogeorge8996,2026-09-04T15:32:34Z,0,"Bhasiii moneee neee credit score anguuu increase akkikkoo, nummaaaa unddd koodeeee ❤ all the best bhasiii & team 🔥"
@vineethpayyamcode8,2026-09-04T15:17:48Z,0,Trailor കണ്ടപ്പോഴേ പടം പൊട്ടിയെന്നു ഉറപ്പിച്ചു 😅
@AjmalN-l2g,2026-09-04T12:04:53Z,0,"Teaser looks cool, and it seems like a decent movie a lot of young people can relate to these days."
@ashoksetty1659,2026-09-04T10:33:34Z,0,@Shashidhara KM I hope you have voice dubbed version for other languages
@KDMR-s1m7b,2026-09-04T05:17:47Z,0,Oh bhaaaasi... U r already field out. Why such actions
